# 形码码表：词	编码	词频。词频由青简词库按词面回填（不是码表自带的权重），出处见 assets/wubi/README.md
欺负	adqm	15210
基金	adqq	4091
藏独	adqt	1
惹急	adqv	1
功成名就	adqy	12
藏拙	adrb	5
苦瓜	adrc	1181
基质	adrf	304
其后	adrg	12295
蒝	adri	1
若有所思	adrl	47
英雄所见略同	adrm	649
惹气	adrn	5
勘探	adrp	563
若有所失	adrr	1
英雄气短	adrt	20
莽撞	adru	78
若失	adrw	1
藏掖	adry	3
期权	adsc	107
基极	adse	1
东奔西走	adsf	34
基本	adsg	25415
斟酌	adsg	308
若想	adsh	1
勘查	adsj	333
东奔西跑	adsk	42
戎机	adsm	3
基板	adsr	97
斯大林	adss	1658
苦楚	adss	106
勘校	adsu	1
若要	adsv	1
藏私	adtc	1
苦短	adtd	662
期待	adtf	71265
匪徒	adtf	177
欺生	adtg	16
苦处	adth	15
藶	adth	1
惹得	adtj	1
藏身	adtm	345
萨克管	adtp	1
苦笑	adtt	177
功成身退	adtv	28
其奈我何	adtw	6
蕨	adu	3100
芖	adu	1
苦痛	aduc	140
苦头	adud	128
欺凌	aduf	459
苦辣	adug	1
基站	aduh	1
期间	aduj	47724
基部	aduk	1
苦闷	adun	265
其次	aduq	2159
匪首	adut	28
蕨	aduw	3100
基准	aduw	768
项背	adux	19
甚好	advb	1
惹怒	advc	1
花大姐	adve	8
基建	advf	538
蕼	advh	1
匪巢	advj	3
藏娇	advt	1
萨达姆	advx	104
其	adw	142297
斟	adw	87
戡	adwa	133
其他	adwb	97488
碁	adwd	1
期	adwe	28676
朞	adwe	1
基	adwf	39713
斟	adwf	87
卙	adwf	1
苦命	adwg	625
藕盒	adwg	1
菶	adwh	1
綦	adwi	330
苦大仇深	adwi	72
剘	adwj	1
萶	adwj	1
蜝	adwj	1
蟴	adwj	1
勘	adwl	962
甚	adwn	5905
惎	adwn	18
夦	adwq	1
斯	adwr	159704
若何	adws	20
棊	adws	1
其余	adwt	6194
蓁	adwt	327
欺侮	adwt	43
尠	adwt	1
其	adwu	142297
欺	adww	658
匧	adww	1
歁	adww	1
莢	adww	1
期货	adwx	609
諅	adwy	1
茏	adx	7
苦练	adxa	269
茏	adxb	7
基线	adxg	253
期终	adxt	16
藕丝	adxx	1
苦度	adya	1
苦读	adyf	127
藏语	adyg	521
苦衷	adyk	257
勘误	adyk	39
甚为	adyl	272
葢	adyl	1
基调	adym	314
期望	adyn	3218
期房	adyn	18
苦恋	adyo	1
基底	adyq	509
藏族	adyt	2131
欺诈	adyt	596
期许	adyt	291
荗	adyt	1
若说	adyu	1
斯达康	adyv	7
基座	adyw	629
斯文	adyy	1279
菜	ae	32295
散工	aeaa	24
散落	aeai	508
藤蔓	aeaj	98
藤萝	aeal	18
菜蔬	aean	11
菜花	aeaw	396
艿	aeb	58
藤子	aebb	204
菔	aebc	40
莩	aebf	6
散出	aebm	1
散了	aebn	2082
散戏	aeca	3
萉	aecb	1
萾	aecl	1
薍	aecn	1
莫须有	aede	137
散在	aedh	1
散布	aedm	940
蕦	aedm	1
散成	aedn	1
藐	aee	27
萠	aeef	1
薶	aeef	1
蒯	aeej	108
散股	aeem	1
藐	aeeq	27
菜地	aefb	161
散去	aefc	1
萲	aefc	1
菜干	aefg	1
藸	aefj	1
散场	aefn	405
苴	aeg	183
散开	aega	1
菜青	aege	1
苴	aegf	183
菜豆	aegk	35
莇	aegl	1
散灭	aego	1
其貌不扬	aegr	48
散步	aehi	3362
菜点	aehk	12
黄脸婆	aeih	1
散水	aeii	1
散漫	aeij	144
菜油	aeim	79
七月流火	aeio	1
散光	aeiq	368
散酒	aeis	1
苚	aej	1
﨟	aejn	1
菜叶	aekf	141
菜品	aekk	413
莻	aekx	1
荕	aelb	1
菜园	aelf	335
菜圃	aelg	8
散架	aelk	281
菜田	aell	1
散曲	aema	54
散见	aemq	22
散居	aend	112
散发	aent	2001
散心	aeny	1550
菜籽	aeob	64
菜农	aepe	49
蕣	aeph	1
薆	aept	1
蓫	aepu	1
菜窖	aepw	3
藐视	aepy	304
菜色	aeqc	202
菜肴	aeqd	414
散钱	aeqg	1
葋	aeqk	1
菜馆	aeqn	224
菜金	aeqq	12
菜鸟	aeqy	1030
散摊	aerc	1
散兵	aerg	1
菜牛	aerh	10
蘨	aeri	1
敬爱的	aerq	1
散打	aers	409
散播	aert	638
散热	aerv	664
散失	aerw	157
菜	aes	32295
藤椅	aesd	13
菜梗	aesg	1
菜椒	aesh	1
散板	aesr	4
菜	aesu	32295
菜根	aesv	1
散	aet	13957
散乱	aetd	69
葄	aetf	1
蕤	aetg	144
藤牌	aeth	12
菜篮	aetj	1
散射	aetm	350
蔿	aeto	1
藤条	aets	94
菜系	aetx	55
散	aety	13957
藤	aeu	6292
虅	aeuc	1
散养	aeud	253
散装	aeuf	181
藤	aeui	6292
菜单	aeuj	1085
蕂	aeul	1
散闷	aeun	13
荽	aev	68
荽	aevf	68
蓞	aevf	1
菜刀	aevn	839
散会	aewf	104
散伙	aewo	409
苟且偷安	aewp	5
散件	aewr	44
散体	aews	1
苟且偷生	aewt	47
蒵	aexd	1
散结	aexf	1
藤编	aexy	7
芨	aey	2
散席	aeya	8
散剂	aeyj	1
菜市	aeym	102
散记	aeyn	26
散户	aeyn	24
散放	aeyt	23
菜谱	aeyu	626
芨	aeyu	2
散座	aeyw	2
散文	aeyy	1527
革	af	1624
鞯	afa	1
落地式	afaa	13
劳动节	afab	760
鞯	afab	1
韄	afac	1
甘苦	afad	26
鞴	afae	7
某某	afaf	1578
鞾	afaf	1
若无其事	afag	196
贰臣	afah	4
韊	afai	1
甘草	afaj	177
甘蓝	afaj	150
鞳	afak	3
甘薯	afal	44
蕡	afam	1
靾	afan	1
韉	afao	1
芙蓉	afap	1180
鞋匠	afar	76
鞢	afas	1
蔷薇	afat	1353
韈	afat	1
甘蔗	afay	1058
邯	afb	90
鞋子	afbb	10356
靴子	afbb	1020
鞭子	afbb	179
邯	afbh	90
革职	afbk	571
勒出	afbm	1
敬老院	afbp	116
甘孜	afbt	388
革除	afbw	153
靶	afc	699
芰	afc	5
花鼓戏	afca	22
靶台	afck	1
蓋	afcl	1
靶	afcn	699
鞍马	afcn	301
鞣	afcs	89
芸	afcu	2168
芰	afcu	5
靫	afcy	1
甘	afd	7449
弍	afd	1
著有	afde	1
落地有声	afdf	1
匹夫有责	afdg	24
薷	afdj	3
鞋面	afdm	81
鞑	afdp	60
甘愿	afdr	303
暮云春树	afds	1
鞋帮	afdt	26
蘎	afec	1
鞵	afed	1
某月	afee	1
靻	afeg	1
甘受	afep	1
花朝月夕	afeq	1
